Frequency	Log magnitude spectrum
9442.309570	-111.776154
9463.842773	-104.213234
9485.375977	-113.243790
9506.909180	-111.389687
9528.442383	-107.965149
9549.975586	-103.438705
9571.508789	-117.465134
9593.041992	-112.756729
9614.575195	-108.677780
9636.108398	-108.433167
9657.641602	-112.947044
9679.174805	-111.048683
9700.708008	-116.321838
9722.241211	-114.020340
9743.774414	-108.021400
9765.307617	-110.705193
9786.840820	-104.033432
9808.374023	-107.771919
9829.907227	-107.145607
9851.440430	-107.876122
9872.973633	-106.576210
9894.506836	-107.662941
9916.040039	-103.089371
9937.573242	-106.015427
9959.106445	-105.681778
9980.639648	-116.838135
10002.172852	-114.854942
10023.706055	-112.349792
10045.239258	-109.013702
10066.772461	-104.000610
10088.305664	-107.237900
10109.838867	-118.500961
10131.372070	-125.760231
10152.905273	-118.413834
10174.438477	-116.513496
10195.971680	-133.307861
10217.504883	-112.444389
10239.038086	-105.856026
10260.571289	-105.752365
10282.104492	-105.855453
10303.637695	-106.427505
10325.170898	-111.586967
10346.704102	-116.819214
10368.237305	-108.064796
10389.770508	-109.660423
10411.303711	-105.768562
10432.836914	-109.216835
10454.370117	-105.634796
10475.903320	-105.807175
10497.436523	-112.675652
10518.969727	-110.150963
10540.502930	-108.939545
10562.036133	-111.827179
10583.569336	-105.561447
10605.102539	-105.644867
10626.635742	-117.193306
10648.168945	-113.895004
10669.702148	-110.988075
10691.235352	-119.225334
10712.768555	-119.391273
10734.301758	-114.178116
10755.834961	-109.705353
10777.368164	-117.809891
10798.901367	-116.308701
10820.434570	-112.810760
10841.967773	-111.108536
10863.500977	-107.645386
10885.034180	-102.697433
10906.567383	-112.282692
10928.100586	-108.506851
10949.633789	-118.014671
10971.166992	-108.019272
10992.700195	-108.533279
11014.233398	-105.290817
11035.766602	-111.147377
11057.299805	-115.294655
11078.833008	-117.099861
11100.366211	-112.846588
11121.899414	-110.625458
11143.432617	-106.146568
11164.965820	-105.746918
11186.499023	-113.832886
11208.032227	-118.065308
11229.565430	-110.521805
11251.098633	-110.761673
11272.631836	-111.659981
11294.165039	-114.206223
11315.698242	-113.968590
11337.231445	-115.551659
11358.764648	-108.773865
11380.297852	-111.159019
11401.831055	-109.675713
11423.364258	-106.014221
11444.897461	-118.704964
11466.430664	-110.838219
11487.963867	-112.390289
11509.497070	-107.129913
11531.030273	-113.503746
11552.563477	-113.401764
11574.096680	-115.003456
11595.629883	-114.782722
11617.163086	-113.500542
11638.696289	-114.614807
11660.229492	-111.676720
11681.762695	-112.797760
11703.295898	-118.385979
11724.829102	-115.211388
11746.362305	-110.852654
11767.895508	-115.441429
11789.428711	-113.245636
11810.961914	-109.985397
11832.495117	-110.963173
11854.028320	-116.956459
11875.561523	-111.194595
11897.094727	-108.356834
11918.627930	-113.493050
11940.161133	-109.562637
11961.694336	-111.010780
11983.227539	-117.970108
12004.760742	-118.888222
12026.293945	-116.165939
12047.827148	-117.205193
12069.360352	-110.780647
12090.893555	-120.302879
12112.426758	-122.345436
12133.959961	-109.718155
12155.493164	-121.100708
12177.026367	-132.717712
12198.559570	-115.496620
12220.092773	-123.659920
12241.625977	-114.494682
12263.159180	-121.098145
12284.692383	-115.214081
12306.225586	-122.557190
12327.758789	-120.336761
12349.291992	-115.171021
12370.825195	-128.406387
12392.358398	-138.309006
12413.891602	-117.243164
12435.424805	-112.791168
12456.958008	-118.906532
12478.491211	-113.907982
12500.024414	-114.589592
12521.557617	-114.986046
12543.090820	-119.103737
12564.624023	-123.565491
12586.157227	-112.136543
12607.690430	-115.959732
12629.223633	-111.764282
12650.756836	-125.338806
12672.290039	-123.184471
12693.823242	-114.173935
12715.356445	-124.624435
12736.889648	-115.442039
12758.422852	-116.801071
12779.956055	-113.252739
12801.489258	-120.085358
12823.022461	-113.118721
12844.555664	-112.739006
12866.088867	-112.258308
12887.622070	-111.056572
12909.155273	-118.077690
12930.688477	-121.754097
12952.221680	-116.062218
12973.754883	-124.902534
12995.288086	-113.338417
13016.821289	-120.129654
13038.354492	-112.445831
13059.887695	-114.489433
13081.420898	-125.190422
13102.954102	-112.091728
13124.487305	-116.397087
13146.020508	-118.001923
13167.553711	-110.539261
13189.086914	-117.556572
13210.620117	-118.649910
13232.153320	-109.909279
13253.686523	-102.665077
13275.219727	-106.818199
13296.752930	-112.461189
13318.286133	-118.955276
13339.819336	-112.708832
13361.352539	-108.336136
13382.885742	-111.337502
13404.418945	-112.705475
13425.952148	-103.306732
13447.485352	-108.052383
13469.018555	-115.473701
